REGION,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,SOLPV,FEL2,2034,0.00046078849154499997
SIMPLICITY,SOLPV,FEL2,2035,0.00140772702161
SIMPLICITY,SOLPV,FEL2,2036,0.00140772702161
SIMPLICITY,SOLPV,FEL2,2037,0.00140772702161
SIMPLICITY,SOLPV,FEL2,2038,0.00132132917559
SIMPLICITY,SOLPV,FEL2,2039,0.00132132917559
SIMPLICITY,SOLPV,FEL2,2040,0.00126373062269
SIMPLICITY,TD,FEL1,2014,2.2140000097949994
SIMPLICITY,TD,FEL1,2015,2.2249999942259997
SIMPLICITY,TD,FEL1,2016,2.273999989677
SIMPLICITY,TD,FEL1,2017,2.3420000064554998
SIMPLICITY,TD,FEL1,2018,2.4259999941325
SIMPLICITY,TD,FEL1,2019,2.5090000019294996
SIMPLICITY,TD,FEL1,2020,2.5890000226054997
SIMPLICITY,TD,FEL1,2021,2.6830000148429995
SIMPLICITY,TD,FEL1,2022,2.7800000021149995
SIMPLICITY,TD,FEL1,2023,2.8860000061539997
SIMPLICITY,TD,FEL1,2024,2.9550000028124996
SIMPLICITY,TD,FEL1,2025,3.0059999975909992
SIMPLICITY,TD,FEL1,2026,3.0610000068609997
SIMPLICITY,TD,FEL1,2027,3.1210000184065
SIMPLICITY,TD,FEL1,2028,3.1859999768234997
SIMPLICITY,TD,FEL1,2029,3.257999992266499
SIMPLICITY,TD,FEL1,2030,3.3360000136149996
SIMPLICITY,TD,FEL1,2031,3.419000029334999
SIMPLICITY,TD,FEL1,2032,3.5029999932524998
SIMPLICITY,TD,FEL1,2033,3.5890000119204997
SIMPLICITY,TD,FEL1,2034,3.6759999946225
SIMPLICITY,TD,FEL1,2035,3.7629999852474993
SIMPLICITY,TD,FEL1,2036,3.8550000098209996
SIMPLICITY,TD,FEL1,2037,3.9519999812564994
SIMPLICITY,TD,FEL1,2038,4.053999978726999
SIMPLICITY,TD,FEL1,2039,4.161000018059499
SIMPLICITY,TD,FEL1,2040,4.272999996340499
SIMPLICITY,WIND,SEC_EL,2028,0.49878884
SIMPLICITY,WIND,SEC_EL,2029,2.9954678
SIMPLICITY,WIND,SEC_EL,2030,3.6175078111000007
SIMPLICITY,WIND,SEC_EL,2031,3.7228160192399997
SIMPLICITY,WIND,SEC_EL,2032,3.9154438011599995
SIMPLICITY,WIND,SEC_EL,2033,4.2619542385599996
SIMPLICITY,WIND,SEC_EL,2034,4.61531195516
SIMPLICITY,WIND,SEC_EL,2035,5.356858658429999
SIMPLICITY,WIND,SEC_EL,2036,5.526881718079999
SIMPLICITY,WIND,SEC_EL,2037,5.7265599277699994
SIMPLICITY,WIND,SEC_EL,2038,5.9194331027699985
SIMPLICITY,WIND,SEC_EL,2039,6.11744237584
SIMPLICITY,WIND,SEC_EL,2040,6.494345594829998
