REGION,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,NGCC,SEC_EL,2033,1.4056225
SIMPLICITY,NGCC,SEC_EL,2034,1.2048193
SIMPLICITY,NGCC,SEC_EL,2035,1.0040161
SIMPLICITY,NGCC,SEC_EL,2036,0.90361446
SIMPLICITY,NGCC,SEC_EL,2037,0.80321285
SIMPLICITY,NGCC,SEC_EL,2038,0.70281124
SIMPLICITY,NGCC,SEC_EL,2039,0.60240964
SIMPLICITY,NGCC,SEC_EL,2040,0.50200803
SIMPLICITY,SOLPV,FEL2,2018,8.6397842e-05
SIMPLICITY,SOLPV,FEL2,2019,8.6397842e-05
SIMPLICITY,SOLPV,FEL2,2020,0.0001439964
SIMPLICITY,SOLPV,FEL2,2021,0.00020159496
SIMPLICITY,SOLPV,FEL2,2022,0.0002159946
SIMPLICITY,SOLPV,FEL2,2023,0.00025919353
SIMPLICITY,SOLPV,FEL2,2024,0.00025919353
SIMPLICITY,SOLPV,FEL2,2025,0.00036863079
SIMPLICITY,SOLPV,FEL2,2026,0.00036863079
SIMPLICITY,SOLPV,FEL2,2027,0.00036863079
SIMPLICITY,SOLPV,FEL2,2028,0.00036863079
SIMPLICITY,SOLPV,FEL2,2029,0.00036863079
SIMPLICITY,SOLPV,FEL2,2030,0.871
SIMPLICITY,SOLPV,FEL2,2031,0.9045
SIMPLICITY,SOLPV,FEL2,2032,1.005
SIMPLICITY,SOLPV,FEL2,2033,1.0385
SIMPLICITY,SOLPV,FEL2,2034,1.072
SIMPLICITY,SOLPV,FEL2,2035,1.0988
SIMPLICITY,SOLPV,FEL2,2036,1.139
SIMPLICITY,SOLPV,FEL2,2037,1.1926
SIMPLICITY,SOLPV,FEL2,2038,1.2395
SIMPLICITY,SOLPV,FEL2,2039,1.2864
SIMPLICITY,SOLPV,FEL2,2040,1.3735
SIMPLICITY,TD,FEL1,2014,2.214
SIMPLICITY,TD,FEL1,2015,2.225
SIMPLICITY,TD,FEL1,2016,2.274
SIMPLICITY,TD,FEL1,2017,2.342
SIMPLICITY,TD,FEL1,2018,2.426
SIMPLICITY,TD,FEL1,2019,2.509
SIMPLICITY,TD,FEL1,2020,2.589
SIMPLICITY,TD,FEL1,2021,2.6830000000000003
SIMPLICITY,TD,FEL1,2022,2.78
SIMPLICITY,TD,FEL1,2023,2.886
SIMPLICITY,TD,FEL1,2024,2.955
SIMPLICITY,TD,FEL1,2025,3.0060000000000002
SIMPLICITY,TD,FEL1,2026,3.0610000000000004
SIMPLICITY,TD,FEL1,2027,3.1210000000000004
SIMPLICITY,TD,FEL1,2028,3.1860000000000004
SIMPLICITY,TD,FEL1,2029,3.258
SIMPLICITY,TD,FEL1,2030,1.9076305
SIMPLICITY,TD,FEL1,2031,1.7168675
SIMPLICITY,TD,FEL1,2032,1.5261044
SIMPLICITY,TD,FEL1,2033,1.3353414
SIMPLICITY,TD,FEL1,2034,1.1445783
SIMPLICITY,TD,FEL1,2035,0.95381526
SIMPLICITY,TD,FEL1,2036,0.85843373
SIMPLICITY,TD,FEL1,2037,0.76305221
SIMPLICITY,TD,FEL1,2038,0.66767068
SIMPLICITY,TD,FEL1,2039,0.57228916
SIMPLICITY,TD,FEL1,2040,0.47690763
