REGION,TIMESLICE,FUEL,YEAR,VALUE
SIMPLICITY,WN,FEL1,2017,0.4684
SIMPLICITY,WN,FEL1,2018,0.4852
SIMPLICITY,WN,FEL1,2019,0.5018
SIMPLICITY,WN,FEL1,2020,0.5178
SIMPLICITY,WN,FEL1,2021,0.5366
SIMPLICITY,WN,FEL1,2022,0.556
SIMPLICITY,WN,FEL1,2023,0.5772
SIMPLICITY,WN,FEL1,2024,0.591
SIMPLICITY,WN,FEL1,2025,0.6012
SIMPLICITY,WN,FEL1,2026,0.6122
SIMPLICITY,WN,FEL1,2027,0.6242
SIMPLICITY,WN,FEL1,2028,0.6372
SIMPLICITY,WN,FEL1,2029,0.6516
SIMPLICITY,WN,FEL1,2030,0.6672
SIMPLICITY,WN,FEL1,2031,0.6838
SIMPLICITY,WN,FEL1,2032,0.7006
SIMPLICITY,WN,FEL1,2033,0.7178
SIMPLICITY,WN,FEL1,2034,0.7352
SIMPLICITY,WN,FEL1,2035,0.7526
SIMPLICITY,WN,FEL1,2036,0.7709999999999999
SIMPLICITY,WN,FEL1,2037,0.7904
SIMPLICITY,WN,FEL1,2038,0.8108
SIMPLICITY,WN,FEL1,2039,0.8322
SIMPLICITY,WN,FEL1,2040,0.8546
SIMPLICITY,WN,FEL2,2018,0.06
SIMPLICITY,WN,FEL2,2019,0.08
SIMPLICITY,WN,FEL2,2020,0.1
SIMPLICITY,WN,FEL2,2021,0.14
SIMPLICITY,WN,FEL2,2022,0.15
SIMPLICITY,WN,FEL2,2023,0.18
SIMPLICITY,WN,FEL2,2024,0.19
SIMPLICITY,WN,FEL2,2025,0.2
SIMPLICITY,WN,FEL2,2026,0.22
SIMPLICITY,WN,FEL2,2027,0.24
SIMPLICITY,WN,FEL2,2028,0.25
SIMPLICITY,WN,FEL2,2029,0.256
SIMPLICITY,WN,FEL2,2030,0.26
SIMPLICITY,WN,FEL2,2031,0.27
SIMPLICITY,WN,FEL2,2032,0.3
SIMPLICITY,WN,FEL2,2033,0.31
SIMPLICITY,WN,FEL2,2034,0.32
SIMPLICITY,WN,FEL2,2035,0.32799999999999996
SIMPLICITY,WN,FEL2,2036,0.34
SIMPLICITY,WN,FEL2,2037,0.35600000000000004
SIMPLICITY,WN,FEL2,2038,0.37
SIMPLICITY,WN,FEL2,2039,0.384
SIMPLICITY,WN,FEL2,2040,0.41
